WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                   5 [PC] pc :          0
                  65 [PC] pc :          4
                  75 [PC] pc :          8
                  85 [PC] pc :         12
                  95 [PC] pc :        136
                 105 [PC] pc :        140
                 115 [PC] pc :        144
                 125 [PC] pc :        148
                 135 [PC] pc :        152
                 145 [PC] pc :        156
                 155 [PC] pc :        160
                 165 [PC] pc :        164
                 175 [PC] pc :        168
                 185 [PC] pc :        172
                 195 [PC] pc :          8
                 205 [PC] pc :         12
                 215 [PC] pc :         16
                 225 [PC] pc :         20
                 235 [PC] pc :         24
                 245 [PC] pc :         28
                 255 [PC] pc :         32
                 265 [PC] pc :         36
                 275 [PC] pc :         40
                 285 [PC] pc :         44
                 305 [PC] pc :         48
                 315 [PC] pc :         52
                 325 [PC] pc :        112
                 335 [PC] pc :        116
                 345 [PC] pc :        120
                 355 [PC] pc :        124
                 365 [PC] pc :        128
                 375 [PC] pc :        132
                 385 [PC] pc :        136
                 395 [PC] pc :        140
                 405 [PC] pc :          0
                 415 [PC] pc :          4
                 425 [PC] pc :          8
                 435 [PC] pc :         12
                 445 [PC] pc :        136
                 455 [PC] pc :        140
                 465 [PC] pc :        144
                 475 [PC] pc :        148
                 485 [PC] pc :        152
                 495 [PC] pc :        156
                 505 [PC] pc :        160
                 515 [PC] pc :        164
                 525 [PC] pc :        168
                 535 [PC] pc :        172
                 545 [PC] pc :          8
                 555 [PC] pc :         12
                 565 [PC] pc :         16
                 575 [PC] pc :         20
                 585 [PC] pc :         24
                 595 [PC] pc :         28
                 605 [PC] pc :         32
                 615 [PC] pc :         36
                 625 [PC] pc :         40
                 635 [PC] pc :         44
                 655 [PC] pc :         48
                 665 [PC] pc :         52
                 675 [PC] pc :        112
                 685 [PC] pc :        116
                 695 [PC] pc :        120
                 705 [PC] pc :        124
                 715 [PC] pc :        128
                 725 [PC] pc :        132
                 735 [PC] pc :        136
                 745 [PC] pc :        140
                 755 [PC] pc :          0
                 765 [PC] pc :          4
                 775 [PC] pc :          8
                 785 [PC] pc :         12
                 795 [PC] pc :        136
                 805 [PC] pc :        140
                 815 [PC] pc :        144
                 825 [PC] pc :        148
                 835 [PC] pc :        152
                 845 [PC] pc :        156
                 855 [PC] pc :        160
                 865 [PC] pc :        164
                 875 [PC] pc :        168
                 885 [PC] pc :        172
                 895 [PC] pc :          8
                 905 [PC] pc :         12
                 915 [PC] pc :         16
                 925 [PC] pc :         20
                 935 [PC] pc :         24
                 945 [PC] pc :         28
                 955 [PC] pc :         32
